Title,Link
,https://owasp.org/Top10/2021/#getting-started
,https://owasp.org/Top10/2021/#navigation
,https://owasp.org/Top10/2021/#the-top-102021-list
,https://owasp.org/Top10/2021/A00_2021_Introduction/
,https://owasp.org/Top10/2021/0x00_2021-notice/
,https://owasp.org/Top10/2021/A00_2021_How_to_use_the_OWASP_Top_10_as_a_standard/
,https://owasp.org/Top10/2021/A00_2021-How_to_start_an_AppSec_program_with_the_OWASP_Top_10/
,https://owasp.org/Top10/2021/0x01_2021-about-owasp/
,https://owasp.org/Top10/2021/A01_2021-Broken_Access_Control/
,https://owasp.org/Top10/2021/A02_2021-Cryptographic_Failures/
,https://owasp.org/Top10/2021/A03_2021-Injection/
,https://owasp.org/Top10/2021/A04_2021-Insecure_Design/
,https://owasp.org/Top10/2021/A05_2021-Security_Misconfiguration/
,https://owasp.org/Top10/2021/A06_2021-Vulnerable_and_Outdated_Components/
,https://owasp.org/Top10/2021/A07_2021-Identification_and_Authentication_Failures/
,https://owasp.org/Top10/2021/A08_2021-Software_and_Data_Integrity_Failures/
,https://owasp.org/Top10/2021/A09_2021-Security_Logging_and_Monitoring_Failures/
,https://owasp.org/Top10/2021/A10_2021-Server-Side_Request_Forgery_%28SSRF%29/
,https://owasp.org/Top10/2021/A11_2021-Next_Steps/
Getting Started,https://owasp.org/Top10/2021/#getting-started
Navigation,https://owasp.org/Top10/2021/#navigation
The Top 10:2021 List,https://owasp.org/Top10/2021/#the-top-102021-list
