,product_id,line_item_id_count,total_sum,product_name
58,59,14,1385.8,Ball
22,23,12,16.56,Bike
54,55,19,818.12,Chair
7,8,12,186.88,Concrete Cheese
27,28,12,633.81,Concrete Gloves
33,34,19,1942.56,Concrete Pants
39,40,21,1285.05,Cotton Ball
5,6,26,2168.4,Cotton Bike
9,10,30,3263.7000000000003,Cotton Sausages
52,53,21,1282.56,Ergonomic Cheese
3,4,21,2058.71,Ergonomic Wooden Soap
49,50,18,2330.37,Fantastic Fish
16,17,19,1458.0,Fantastic Sausages
0,1,21,506.25,Fantastic Shoes
28,29,21,2213.14,For repair Fresh Fish
1,2,28,1780.17,For repair Soft Table
36,37,21,555.9599999999999,Frozen Computer
15,16,12,1211.55,Gorgeous Salad
13,14,19,720.65,Handcrafted Hat
44,45,22,1968.9999999999998,Handcrafted Wooden Fish
18,19,17,1335.56,Hat
24,25,20,378.24,Incredible Hat
57,58,17,1499.5500000000002,Intelligent Chips
19,20,22,982.5000000000001,Licensed Cheese
53,54,21,2362.2000000000003,Licensed Plastic Bike
41,42,14,1400.0800000000002,Mouse
11,12,19,1348.2,Mouse
56,57,20,1306.3700000000001,New Fresh Chips
50,51,18,1651.63,Pants
23,24,20,1290.9,Plastic Pants
34,35,15,1633.5500000000002,Practical Fish
40,41,14,588.19,Practical Steel Towels
43,44,18,224.0,Practical Tuna
55,56,16,1045.8,Refined Ball
29,30,14,483.84,Refined Cotton Sausages
47,48,16,1499.35,Rubber Mouse
51,52,19,1052.56,Rubber Towels
42,43,15,76.85000000000001,Salad
2,3,19,986.44,Sausages
45,46,15,560.9200000000001,Sausages
17,18,13,25.300000000000004,Shirt
10,11,23,1896.58,Shoes
35,36,21,878.08,Sleek Concrete Cheese
6,7,18,2067.87,Sleek Granite Car
14,15,30,438.18,Small Fish
21,22,17,1069.17,Small Shirt
12,13,19,352.95,Soft Pizza
20,21,18,1799.28,Steel Car
32,33,10,734.58,Steel Computer
30,31,23,264.12,Steel Mouse
48,49,17,1348.1999999999998,Steel Sausages
26,27,17,453.9,Table
31,32,19,850.75,Tasty Pizza
46,47,13,1535.7600000000002,Tuna
25,26,24,1433.7,Unbranded Chicken
38,39,13,992.1600000000001,Unbranded Wooden Hat
8,9,22,211.64999999999998,Unbranded Wooden Keyboard
37,38,18,952.5600000000001,Wooden Mouse
4,5,20,1767.3000000000002,Wooden Shoes
